Asset_ID,Asset_Type,Acquisition_Date,Acquisition_Cost,Depreciation_Method,Depreciation_Rate,Book_Value,Useful_Life,Years_in_Service,Maintenance_Cost,Repair_Frequency,Condition_Score,Utilization_Percentage,Retired
A024,Machine,2011-08-24,84235,Straight-Line,18,-114827.31,7,13,418,8,4,41,1
A025,Vehicle,2016-08-17,12362,Declining Balance,15,-2736.57,15,8,8960,3,10,23,0
A026,Vehicle,2021-06-10,22098,Straight-Line,9,15483.13,6,3,19568,14,8,52,0
A027,Building,2020-04-22,51782,Declining Balance,10,28685.81,30,4,7051,2,1,100,1
A028,Building,2007-12-25,133005,Straight-Line,18,-269070.94,16,16,13521,15,10,79,0
A029,Vehicle,2006-08-23,74382,Declining Balance,7,-20038.31,17,18,3806,14,9,41,1
A030,Equipment,2020-02-02,231545,Straight-Line,18,36514.33,22,4,5755,5,6,71,0
A031,Equipment,2022-10-24,223503,Straight-Line,5,201673.19,21,1,15728,12,4,55,0
A032,Building,2010-08-27,228433,Straight-Line,14,-223150.88,11,14,13335,11,2,44,1
A033,Machine,2010-04-15,20277,Straight-Line,8,-3224.32,13,14,15976,3,5,41,1
A034,Building,2014-08-24,203729,Declining Balance,5,100580.73,20,10,10716,10,4,79,0
A035,Furniture,2017-11-07,151218,Declining Balance,6,88452.17,18,6,1894,12,10,48,0
A036,Furniture,2011-11-14,157209,Straight-Line,17,-187660.17,29,12,4333,11,1,33,1
A037,Equipment,2010-10-10,90592,Straight-Line,19,-150382.72,12,14,16318,9,6,60,1
A038,Furniture,2017-05-15,62954,Straight-Line,18,-20900.73,11,7,281,2,10,92,0
A039,Vehicle,2021-12-01,29539,Declining Balance,9,21964.07,18,2,11394,10,5,60,0
A040,Building,2015-08-22,247785,Straight-Line,12,-23733.05,20,9,10382,15,9,76,0
A041,Furniture,2019-03-30,189838,Declining Balance,13,53461.5,30,5,16964,3,9,81,0
A042,Furniture,2008-04-08,23375,Straight-Line,19,-49936.04,10,16,14036,15,6,62,1
A043,Building,2023-12-09,15600,Straight-Line,7,14696.48,28,0,5630,6,3,54,1
A044,Building,2020-08-11,199058,Declining Balance,13,91506.69,11,4,16745,7,1,94,1
A045,Vehicle,2008-02-17,74154,Declining Balance,14,-98663.42,21,16,18299,10,10,85,0
A046,Furniture,2013-01-31,158798,Declining Balance,14,-101039.03,8,11,19604,13,8,24,1
A047,Furniture,2009-11-05,134490,Straight-Line,15,-166675.48,21,14,9539,0,3,27,1
A048,Building,2016-02-12,14867,Straight-Line,9,3286.63,15,8,12720,13,5,16,0
A049,Machine,2009-11-16,48163,Declining Balance,10,-23593.27,30,14,12814,9,9,90,0
A050,Machine,2015-02-27,118332,Declining Balance,9,15947.26,29,9,18824,9,4,82,0
A051,Building,2005-07-17,128585,Declining Balance,15,-242426.76,30,19,2137,9,2,92,1
A052,Vehicle,2010-02-23,132578,Declining Balance,17,-197098.08,5,14,9105,4,8,64,1
A053,Equipment,2006-07-25,244121,Declining Balance,7,-67123.24,13,18,8576,13,8,84,1
A054,Machine,2020-03-12,194856,Declining Balance,18,34476.17,23,4,19059,9,4,97,0
A055,Machine,2011-09-17,45251,Straight-Line,18,-61149.6,6,13,16797,14,2,47,1
A056,Building,2024-01-25,129078,Declining Balance,19,111944.22,22,0,14452,0,5,2,0
A057,Machine,2016-09-07,135365,Straight-Line,12,4034.99,5,8,16715,8,7,50,1
A058,Vehicle,2017-05-24,230952,Straight-Line,19,-92684.52,13,7,13990,15,4,79,0
A059,Equipment,2014-02-07,178170,Declining Balance,19,-182983.03,17,10,14278,13,2,14,1
A060,Vehicle,2024-10-03,51234,Declining Balance,16,51166.62,24,0,10687,15,10,78,0
A061,Building,2006-10-02,77976,Straight-Line,6,-6353.44,9,18,3516,5,3,88,1
A062,Furniture,2004-11-03,46052,Straight-Line,19,-128394.24,17,19,18971,8,8,83,1
A063,Vehicle,2022-11-29,71361,Declining Balance,18,47536.2,26,1,2781,10,8,78,0
A064,Machine,2015-12-13,152807,Straight-Line,15,-49400.62,20,8,17780,4,10,18,0
A065,Vehicle,2018-05-08,197547,Declining Balance,7,108780.74,14,6,8941,3,2,6,1
A066,Furniture,2008-09-06,129554,Declining Balance,18,-245733.77,14,16,2201,2,3,48,1
A067,Vehicle,2009-12-02,131717,Straight-Line,6,14319.26,21,14,7371,4,10,36,0
A068,Building,2007-05-27,44673,Straight-Line,11,-40709.95,13,17,10087,0,1,86,1
A069,Equipment,2010-06-21,147638,Declining Balance,10,-63545.01,16,14,10305,3,1,35,1
A070,Building,2023-04-03,30141,Declining Balance,10,25582.69,13,1,17649,5,7,34,0
A071,Building,2011-07-08,44803,Declining Balance,11,-20534.5,25,13,15415,5,8,100,0
A072,Furniture,2023-09-15,8456,Declining Balance,11,7469.78,28,1,16580,11,5,13,0
A073,Furniture,2007-05-01,112776,Declining Balance,10,-83979.5,19,17,1552,15,5,2,0
A074,Furniture,2009-07-21,242794,Straight-Line,12,-200700.84,28,15,19870,9,5,49,0
A075,Vehicle,2022-10-08,34310,Straight-Line,11,26772.14,10,1,13887,9,4,42,0
A076,Machine,2023-03-02,93786,Straight-Line,14,72777.94,24,1,3762,12,5,91,0
A077,Building,2009-03-22,62103,Straight-Line,16,-92443.29,29,15,5346,1,10,69,0
A078,Machine,2024-07-26,132530,Declining Balance,16,128347.14,12,0,14440,11,5,32,0
A079,Machine,2013-06-01,222363,Declining Balance,10,-30156.08,12,11,19419,9,4,56,0
A080,Vehicle,2019-06-13,91687,Declining Balance,18,3878.49,8,5,1412,13,2,29,1
A081,Vehicle,2008-02-16,83535,Straight-Line,17,-152901.09,13,16,10437,13,7,75,1
A082,Equipment,2021-09-23,168311,Straight-Line,12,106944.35,13,3,11174,14,8,4,0
A083,Furniture,2009-07-27,246100,Straight-Line,14,-277789.59,26,15,6795,5,7,20,0
A084,Furniture,2012-08-16,67436,Declining Balance,13,-39061.15,19,12,3384,12,10,56,0
A085,Machine,2018-11-03,139709,Declining Balance,20,-25951.43,22,5,9823,4,10,19,0
A086,Machine,2020-02-26,215948,Declining Balance,5,166132.05,20,4,15736,11,4,70,0
A087,Machine,2005-03-02,72410,Declining Balance,13,-112193.84,24,19,1022,14,3,1,1
A088,Building,2007-07-31,166254,Straight-Line,20,-405568.66,13,17,8237,7,10,72,1
A089,Furniture,2020-05-18,246478,Straight-Line,7,170751.86,28,4,15592,13,5,69,0
A090,Building,2005-02-09,212389,Declining Balance,16,-455990.45,8,19,13366,13,10,49,1
A091,Furniture,2017-11-23,25193,Straight-Line,10,7875.4,16,6,16630,6,8,53,0
A092,Vehicle,2013-06-30,22478,Straight-Line,12,-7939.35,12,11,14981,13,9,28,0
A093,Building,2020-05-29,93152,Straight-Line,15,32245.9,7,4,8514,10,5,85,0
A094,Building,2007-10-09,138042,Declining Balance,6,-2806.22,21,17,2578,8,8,3,0
A095,Vehicle,2019-08-25,211116,Straight-Line,17,27340.97,24,5,583,1,8,44,0
A096,Building,2022-05-24,150505,Declining Balance,17,89799.94,6,2,2921,5,7,3,0
A097,Furniture,2015-04-02,27615,Straight-Line,11,-1305.09,26,9,11093,3,7,68,0
A098,Furniture,2022-09-07,48013,Declining Balance,10,38015.77,23,2,4806,15,10,84,0
A099,Building,2021-02-12,22666,Straight-Line,10,14394.46,6,3,5368,5,3,15,1
A100,Furniture,2014-06-08,21590,Straight-Line,7,5967.71,24,10,17998,5,10,57,0
A101,Vehicle,2011-09-11,25500,Straight-Line,11,-11187.86,15,13,10508,5,2,94,1
A102,Building,2018-12-18,49342,Straight-Line,20,-7948.79,18,5,1098,14,10,65,0
A103,Building,2015-03-23,224101,Straight-Line,7,74321.72,26,9,5432,5,7,97,0
A104,Vehicle,2012-11-02,144515,Declining Balance,9,-10705.99,13,11,335,1,6,76,0
A105,Building,2018-11-25,44060,Straight-Line,18,-2481.85,8,5,17035,13,7,79,0
A106,Building,2024-03-24,26723,Declining Balance,20,23853.02,23,0,16032,9,5,48,0
A107,Machine,2016-10-28,97147,Straight-Line,13,-3193.87,23,7,6301,9,4,37,0
A108,Machine,2017-10-30,22342,Straight-Line,16,-2465.58,23,6,5970,13,1,72,1
A109,Equipment,2018-02-12,159358,Declining Balance,13,21550.44,25,6,17501,6,5,35,0
A110,Building,2023-01-27,205333,Straight-Line,6,184473.42,6,1,16854,6,5,28,0
A111,Furniture,2022-08-31,11272,Declining Balance,20,6534.67,10,2,3717,15,10,25,0
A112,Vehicle,2009-07-07,127199,Declining Balance,20,-261019.32,13,15,15907,3,5,20,1
A113,Equipment,2009-02-03,6412,Straight-Line,20,-13698.84,12,15,8865,6,3,94,1
A114,Equipment,2018-03-02,42878,Straight-Line,15,411.16,17,6,2848,14,6,96,0
A115,Furniture,2014-12-03,105251,Declining Balance,13,-29513.53,7,9,17262,7,3,60,1
A116,Equipment,2016-01-30,50455,Straight-Line,13,-6546.71,7,8,6539,4,6,30,1
A117,Furniture,2009-07-07,13301,Declining Balance,14,-15115.77,20,15,19747,9,5,82,0
A118,Building,2022-05-10,94584,Straight-Line,10,71780.19,8,2,3258,9,8,49,0
A119,Vehicle,2021-07-19,231944,Declining Balance,18,97543.57,11,3,13459,10,7,63,0
A120,Vehicle,2007-06-01,123420,Straight-Line,7,-26574.19,13,17,16829,15,8,89,1
A121,Machine,2019-07-11,193086,Straight-Line,10,91834.88,13,5,1667,8,7,77,0
A122,Vehicle,2014-07-31,105690,Declining Balance,10,-2026.93,27,10,5179,7,10,45,0
A123,Equipment,2005-05-23,91589,Declining Balance,5,2810.4,13,19,13170,10,3,97,1
A124,Furniture,2012-10-12,47633,Declining Balance,19,-60895.85,22,11,4190,3,1,1,1
A125,Furniture,2012-10-17,12587,Declining Balance,11,-3997.49,11,11,6342,6,5,82,0
A126,Building,2022-08-12,193277,Declining Balance,14,135007.96,5,2,5147,6,10,44,0
A127,Equipment,2012-05-31,175565,Declining Balance,11,-63112.01,17,12,12834,12,7,25,0
A128,Building,2021-08-15,226228,Declining Balance,20,83921.29,13,3,197,12,9,88,0
A129,Vehicle,2019-11-30,212759,Straight-Line,14,68152.83,10,4,6136,5,8,85,0
A130,Equipment,2016-10-08,169569,Straight-Line,12,6782.76,24,8,1525,13,4,8,0
A131,Furniture,2006-03-13,226680,Straight-Line,13,-320867.09,23,18,12452,14,5,59,0
A132,Equipment,2021-06-10,165692,Straight-Line,6,132626.23,27,3,8836,3,7,67,0
A133,Building,2018-08-26,142448,Straight-Line,12,37871.65,14,6,9125,1,1,83,1
A134,Equipment,2022-04-21,142609,Declining Balance,8,114509.17,9,2,19309,14,8,97,0
A135,Machine,2010-09-24,95586,Declining Balance,19,-159468.87,7,14,2422,15,3,83,1
A136,Machine,2017-07-04,150425,Straight-Line,8,63021.89,9,7,1570,6,6,2,0
A137,Vehicle,2014-11-21,47624,Declining Balance,12,-8851.54,23,9,19022,7,8,75,0
A138,Equipment,2010-07-13,237517,Declining Balance,10,-100798.31,21,14,15030,9,2,72,1
A139,Vehicle,2013-01-24,11009,Declining Balance,19,-13478.33,9,11,3874,3,9,33,1
A140,Building,2019-09-17,176048,Declining Balance,15,42492.68,18,5,17759,1,1,25,1
A141,Furniture,2006-08-23,146584,Declining Balance,6,-12907.42,9,18,11027,15,8,60,1
A142,Equipment,2010-09-30,130721,Declining Balance,5,39037.23,29,14,15009,8,7,1,0
A143,Furniture,2006-06-01,45105,Straight-Line,20,-120535.39,5,18,16573,6,8,19,1
A144,Machine,2009-08-27,108060,Straight-Line,14,-120689.7,23,15,3764,10,8,44,0
A145,Machine,2010-10-05,209587,Declining Balance,11,-113492.8,22,14,5216,8,4,52,0
A146,Equipment,2006-02-06,244904,Straight-Line,6,-29536.09,11,18,7006,2,9,47,1
A147,Equipment,2018-04-09,128452,Straight-Line,18,-21805.17,15,6,7060,9,9,33,0
A148,Building,2009-01-09,248485,Straight-Line,5,52794.55,8,15,17646,15,1,17,1
A149,Vehicle,2012-05-19,42224,Straight-Line,5,16062.47,17,12,3074,6,8,12,0
A150,Machine,2015-10-01,206367,Declining Balance,17,-110143.44,9,9,8464,6,3,20,1
A151,Machine,2004-12-10,149584,Straight-Line,16,-325150.54,28,19,228,5,4,39,0
A152,Vehicle,2020-01-30,99844,Straight-Line,14,34318.98,17,4,13406,0,9,20,0
A153,Building,2021-04-17,142839,Straight-Line,8,103141.5,6,3,1678,7,10,22,0
A154,Furniture,2016-05-13,191733,Declining Balance,12,-1659.94,6,8,12041,7,2,2,1
A155,Furniture,2009-05-16,189010,Declining Balance,17,-305906.21,30,15,14700,12,7,15,0
A156,Vehicle,2014-02-03,36309,Declining Balance,20,-41243.04,5,10,17629,11,1,97,1
A157,Building,2020-11-04,194361,Straight-Line,8,133358.27,24,3,2763,12,10,42,0
A158,Vehicle,2009-06-25,103037,Straight-Line,20,-212115.07,22,15,17625,14,2,98,1
A159,Machine,2017-12-01,132346,Declining Balance,7,68867.06,25,6,6286,13,7,96,0
A160,Building,2006-03-04,28200,Declining Balance,8,-13773.96,7,18,5230,14,4,23,1
A161,Machine,2010-12-08,233448,Declining Balance,10,-89605.66,24,13,13017,7,4,23,0
A162,Building,2009-07-20,27279,Declining Balance,16,-39171.15,11,15,11470,8,8,23,1
A163,Furniture,2010-12-13,82501,Straight-Line,12,-54364.77,15,13,2370,10,4,56,0
A164,Equipment,2007-10-08,103033,Straight-Line,12,-107255.94,30,17,13642,12,1,74,1
A165,Equipment,2007-05-11,243965,Declining Balance,6,-11015.19,30,17,17016,5,7,84,0
A166,Machine,2010-09-27,217168,Declining Balance,5,64763.66,29,14,4349,5,1,67,1
A167,Vehicle,2005-07-31,134665,Straight-Line,11,-149706.9,28,19,8368,7,10,31,0
A168,Vehicle,2015-11-07,115572,Declining Balance,20,-90621.11,23,8,11390,7,4,39,0
A169,Vehicle,2006-12-20,213859,Straight-Line,14,-319323.71,12,17,4399,15,10,70,1
A170,Vehicle,2008-02-02,201359,Declining Balance,20,-470683.56,24,16,18784,13,1,0,1
A171,Vehicle,2020-10-21,119332,Declining Balance,20,24781.82,21,3,1266,1,8,60,0
A172,Building,2018-03-19,32322,Straight-Line,12,6893.0,22,6,13496,3,3,60,1
A173,Furniture,2020-05-30,117212,Declining Balance,8,76364.42,27,4,1765,10,3,91,1
A174,Machine,2019-08-29,211105,Straight-Line,6,146385.41,11,5,11962,10,1,30,1
A175,Machine,2009-04-03,95955,Declining Balance,6,6598.55,21,15,5876,9,6,38,0
A176,Equipment,2020-07-21,32365,Straight-Line,8,21454.89,6,4,8135,8,5,52,0
A177,Building,2016-03-09,40246,Straight-Line,20,-28844.8,24,8,2281,13,2,48,1
A178,Vehicle,2015-02-11,71381,Declining Balance,10,2444.55,28,9,11743,0,8,82,0
A179,Machine,2018-02-12,160024,Straight-Line,19,-42228.8,6,6,19521,8,2,37,1
A180,Machine,2005-01-03,54231,Declining Balance,10,-52982.94,23,19,3563,7,10,86,0
A181,Furniture,2017-01-05,81731,Straight-Line,6,43695.86,30,7,4685,2,3,63,1
A182,Furniture,2021-06-11,232188,Straight-Line,13,131876.42,28,3,3286,11,3,11,1
A183,Equipment,2014-08-22,87261,Declining Balance,16,-54192.67,16,10,17155,12,4,41,0
A184,Machine,2021-04-07,234029,Declining Balance,15,111115.69,9,3,1865,14,5,100,0
A185,Machine,2010-06-09,164473,Declining Balance,17,-236395.02,7,14,9624,12,10,6,1
A186,Machine,2010-08-30,136557,Straight-Line,9,-36885.36,26,14,18621,1,1,44,1
A187,Building,2022-02-10,140897,Declining Balance,9,107232.27,17,2,2215,13,5,29,0
A188,Vehicle,2014-02-03,198317,Declining Balance,16,-140549.7,16,10,14525,15,2,17,1
A189,Building,2014-08-11,212199,Declining Balance,11,-24992.97,25,10,7400,4,7,39,0
A190,Machine,2019-01-16,61195,Declining Balance,19,-5381.81,5,5,11183,9,8,6,0
A191,Equipment,2008-05-19,71725,Straight-Line,11,-57623.67,22,16,15704,3,10,26,0
A192,Vehicle,2009-08-14,26304,Straight-Line,13,-25522.81,14,15,9496,6,5,27,1
A193,Vehicle,2006-10-29,132191,Declining Balance,20,-342392.8,7,17,2845,11,2,85,1
A194,Furniture,2021-10-10,26714,Declining Balance,11,17922.53,17,2,12474,15,7,12,0
A195,Vehicle,2016-08-24,90246,Declining Balance,6,46260.35,24,8,18403,13,9,100,0
A196,Equipment,2023-10-13,41043,Declining Balance,15,34987.75,6,0,12492,5,5,62,0
A197,Furniture,2012-05-26,207859,Straight-Line,11,-75034.25,27,12,7652,9,10,30,0
A198,Furniture,2005-02-12,173168,Straight-Line,17,-405602.15,7,19,10566,5,4,19,1
A199,Vehicle,2024-02-22,5022,Straight-Line,18,4459.81,9,0,17504,1,8,90,0
A200,Equipment,2008-08-15,10924,Declining Balance,11,-8486.6,13,16,1543,12,7,54,1
A201,Equipment,2018-03-11,94921,Declining Balance,14,7505.26,27,6,16333,3,10,70,0
A202,Furniture,2024-04-27,169603,Straight-Line,14,159064.38,30,0,6607,1,2,51,1
A203,Building,2016-01-06,100685,Declining Balance,8,30155.85,19,8,16865,9,10,60,0
A204,Vehicle,2011-12-30,186903,Straight-Line,15,-171336.28,17,12,3674,6,3,76,1
A205,Equipment,2012-10-24,70006,Straight-Line,15,-55573.26,10,11,3572,4,7,5,1
A206,Machine,2007-09-20,191198,Straight-Line,6,-4483.99,23,17,17557,13,8,91,0
A207,Vehicle,2023-03-03,221420,Declining Balance,14,171906.85,30,1,9221,2,3,26,1
A208,Building,2020-11-16,9854,Declining Balance,10,6020.39,9,3,14544,14,2,20,1
A209,Vehicle,2010-09-22,24196,Straight-Line,16,-30193.96,22,14,11316,5,2,91,1
A210,Machine,2008-04-06,91229,Declining Balance,17,-164859.55,18,16,11816,5,3,32,1
A211,Vehicle,2024-08-16,115468,Straight-Line,5,114661.31,22,0,18692,10,5,37,0
A212,Building,2016-01-13,85178,Straight-Line,9,18200.09,30,8,13927,6,5,10,0
A213,Building,2022-12-13,232162,Straight-Line,11,185774.12,30,1,1234,4,2,31,1
A214,Building,2024-01-14,208674,Straight-Line,20,178259.05,21,0,4268,10,5,39,0
A215,Equipment,2008-06-15,89819,Declining Balance,9,-42111.58,10,16,9161,14,2,1,1
A216,Vehicle,2006-12-12,85749,Straight-Line,9,-51853.48,27,17,2627,11,1,79,1
A217,Building,2023-07-27,224781,Declining Balance,17,179030.37,25,1,14588,7,4,28,0
A218,Equipment,2011-02-03,111357,Declining Balance,19,-178128.49,27,13,3579,13,3,4,1
A219,Machine,2007-12-09,148968,Declining Balance,14,-202204.67,14,16,9627,11,7,14,1
A220,Furniture,2024-09-17,194000,Declining Balance,12,192788.16,5,0,5768,7,8,20,0
A221,Machine,2006-07-20,242887,Declining Balance,20,-642552.57,27,18,10592,10,5,15,0
A222,Building,2020-10-17,230515,Declining Balance,10,138940.55,12,3,6718,7,5,3,0
A223,Vehicle,2007-09-01,231470,Straight-Line,14,-322979.92,7,17,2183,3,1,9,1
A224,Machine,2014-07-16,65889,Straight-Line,9,5207.94,9,10,1219,4,5,34,1
A225,Equipment,2010-10-07,228909,Declining Balance,10,-91751.74,17,14,6713,10,7,30,0
A226,Equipment,2019-01-22,73816,Declining Balance,18,-2046.62,25,5,15727,0,2,99,1
A227,Equipment,2014-03-21,5462,Straight-Line,6,2003.43,15,10,9280,7,6,37,0
A228,Vehicle,2009-07-19,43650,Declining Balance,18,-75991.66,22,15,5363,1,4,17,0
A229,Machine,2008-06-24,239462,Declining Balance,20,-540987.3,26,16,10090,1,4,56,0
A230,Building,2014-11-23,137534,Declining Balance,14,-52639.73,5,9,17259,0,6,88,1
A231,Furniture,2014-03-29,59376,Straight-Line,10,-3155.88,14,10,14368,7,1,99,1
A232,Machine,2011-03-16,104288,Straight-Line,19,-164595.04,27,13,19171,15,5,24,0
A233,Building,2010-05-31,235279,Straight-Line,6,32539.41,30,14,14336,7,1,68,1
A234,Machine,2017-12-13,14809,Straight-Line,11,3700.63,13,6,9350,6,6,57,0
A235,Furniture,2008-11-24,84427,Declining Balance,18,-156849.17,8,15,881,8,4,66,1
A236,Equipment,2017-09-17,67063,Straight-Line,6,38665.03,29,7,181,2,6,18,0
A237,Building,2017-04-24,27871,Straight-Line,15,-3306.34,22,7,17002,1,7,40,0
A238,Machine,2013-03-01,123991,Declining Balance,19,-149478.79,30,11,17686,6,8,35,0
A239,Furniture,2017-12-27,235950,Straight-Line,18,-52038.29,6,6,2107,13,3,51,1
A240,Building,2020-04-29,86195,Straight-Line,19,13462.95,5,4,10558,9,3,31,1
A241,Vehicle,2016-02-06,131947,Straight-Line,19,-85440.2,23,8,13270,9,6,0,0
A242,Furniture,2017-02-07,53822,Straight-Line,18,-20443.51,9,7,11554,1,1,84,1
A243,Building,2020-11-28,174101,Declining Balance,16,66644.91,14,3,2310,11,10,2,0
A244,Building,2006-05-31,133911,Straight-Line,10,-112008.3,13,18,3646,15,10,89,1
A245,Furniture,2006-10-30,88986,Straight-Line,16,-166552.54,5,17,18038,13,10,87,1
A246,Vehicle,2010-07-06,102163,Declining Balance,6,14733.86,28,14,15161,11,4,63,0
A247,Building,2023-07-22,243412,Declining Balance,19,187407.23,14,1,345,12,9,57,0
A248,Vehicle,2015-08-10,112497,Declining Balance,10,9400.43,16,9,3772,6,5,26,0
A249,Building,2023-12-25,68137,Declining Balance,14,60662.46,26,0,4920,1,3,6,1
A250,Equipment,2013-12-01,187429,Declining Balance,10,-16021.33,17,10,559,5,3,48,1
A251,Building,2023-07-21,146349,Declining Balance,13,123257.93,19,1,12338,2,5,59,0
A252,Equipment,2009-02-19,228483,Declining Balance,12,-200288.82,25,15,4007,3,10,22,0
A253,Building,2017-12-24,207716,Straight-Line,10,66696.75,21,6,15799,11,2,3,1
A254,Vehicle,2024-07-27,175151,Declining Balance,13,170721.84,6,0,17991,1,2,90,1
A255,Furniture,2011-09-14,234079,Declining Balance,14,-194279.16,6,13,12821,8,6,63,1
A256,Machine,2022-12-20,41918,Declining Balance,5,38151.12,7,1,1300,10,1,20,1
A257,Equipment,2015-06-01,53328,Declining Balance,5,28380.72,19,9,8782,14,9,68,0
A258,Machine,2013-09-09,26457,Declining Balance,17,-23387.26,24,11,14215,12,3,36,1
A259,Building,2008-04-16,211412,Declining Balance,14,-276503.73,14,16,61,13,10,24,1
A260,Furniture,2023-02-20,70778,Declining Balance,13,55804.09,26,1,8845,4,5,41,0
A261,Building,2014-05-18,84538,Declining Balance,16,-56059.12,7,10,6682,6,5,18,1
A262,Equipment,2014-02-03,167992,Straight-Line,18,-154939.25,24,10,19531,4,8,31,0
A263,Building,2023-06-01,26970,Straight-Line,17,20777.24,24,1,15648,9,6,16,0
A264,Equipment,2007-01-26,40724,Straight-Line,20,-103494.75,5,17,8017,9,6,69,1
A265,Equipment,2009-07-18,61869,Declining Balance,10,-32358.33,9,15,334,3,9,77,1
A266,Vehicle,2019-09-05,38092,Straight-Line,6,26457.76,7,5,696,14,2,67,1
A267,Machine,2018-01-11,42692,Straight-Line,16,-3345.18,6,6,1269,9,3,23,1
A268,Building,2024-02-24,186227,Declining Balance,9,175895.23,22,0,14002,11,10,60,0
A269,Vehicle,2021-02-09,65955,Straight-Line,11,39419.41,23,3,6123,6,3,2,1
A270,Equipment,2023-02-05,44100,Straight-Line,18,30855.5,23,1,13405,3,7,91,0
A271,Building,2010-11-30,105737,Straight-Line,7,3148.93,10,13,1240,4,1,62,1
A272,Vehicle,2019-05-13,51217,Straight-Line,20,-4153.49,10,5,12250,8,5,71,0
A273,Machine,2006-04-17,200124,Declining Balance,6,-21832.71,12,18,923,9,7,74,1
A274,Vehicle,2021-05-23,7170,Straight-Line,12,4265.86,15,3,17802,10,1,51,1
A275,Furniture,2007-12-03,147476,Declining Balance,10,-101091.77,14,16,887,15,2,98,1
A276,Machine,2007-12-23,116528,Declining Balance,19,-255429.38,26,16,982,7,2,93,1
A277,Equipment,2017-03-07,231157,Declining Balance,11,38188.4,18,7,17674,2,5,58,0
A278,Machine,2018-06-24,56218,Declining Balance,19,-10972.52,27,6,4995,1,7,73,0
A279,Vehicle,2016-08-08,199908,Straight-Line,20,-126626.66,13,8,7024,9,8,7,0
A280,Building,2023-08-19,184072,Declining Balance,9,165281.53,14,1,17058,4,4,28,0
A281,Building,2010-07-12,35439,Straight-Line,9,-10000.59,20,14,4864,10,9,36,0
A282,Furniture,2014-10-05,97979,Declining Balance,14,-39341.92,14,10,16268,10,2,30,1
A283,Building,2012-04-28,220577,Declining Balance,18,-273708.86,11,12,16995,5,4,32,1
A284,Vehicle,2013-09-20,132200,Straight-Line,6,44535.1,15,11,18104,14,2,34,1
A285,Building,2005-03-17,243717,Straight-Line,8,-137843.66,5,19,5488,4,7,42,1
A286,Machine,2022-07-11,141336,Straight-Line,7,119163.67,25,2,8099,10,5,63,0
A287,Vehicle,2005-07-23,144334,Straight-Line,19,-382722.36,14,19,1313,12,9,6,1
A288,Equipment,2014-07-18,67340,Declining Balance,16,-42854.07,23,10,11842,11,8,70,0
A289,Furniture,2021-06-12,187385,Declining Balance,11,118940.7,9,3,19108,8,2,92,1
A290,Building,2011-11-17,168441,Declining Balance,20,-265998.34,18,12,12486,5,2,73,1
A291,Equipment,2020-03-09,66514,Straight-Line,8,42138.9,16,4,7637,14,7,20,0
A292,Machine,2011-05-27,127007,Declining Balance,18,-178707.55,16,13,4280,0,10,81,0
A293,Building,2018-03-23,147791,Declining Balance,8,70405.2,20,6,2448,8,4,8,0
